package	shard	host	kind	attempt	start	end	outer_s	sweep_s	deadline_min	word	got	gotDisclosed	gotDisclosedArray	bankedTests	bankedDisclosed	absorption	page	drift	log	corpus_commit	converter_commit	converter_sha256	converter_mtime	ctoolchain	rc
container/ring	S-G	G-LAPTOP	verdict	1	2026-09-24T02:30:22	2026-09-24T02:30:42	20	20	10	PASS	8	0	0	8	0	none	NOT REWRITTEN	clean	rows\container__ring\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
context	S-G	G-LAPTOP	verdict	1	2026-09-24T02:30:43	2026-09-24T02:31:30	47	46	10	COUNT	58	0	0	57	1	none	MOVED [TestAllocs] N=58 D=0	auto=0 test-artifacts=0 production=1	rows\context\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	1
crypto	S-G	G-LAPTOP	verdict	1	2026-09-24T02:31:32	2026-09-24T02:32:36	64	63	10	PASS	6	0	0	6	0	none	NOT REWRITTEN	clean	rows\crypto\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/aes	S-G	G-LAPTOP	verdict	1	2026-09-24T02:32:37	2026-09-24T02:33:10	33	33	10	PASS	57	0	0	57	0	none	NOT REWRITTEN	clean	rows\crypto__aes\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/cipher	S-G	G-LAPTOP	verdict	1	2026-09-24T02:33:11	2026-09-24T02:34:13	61	60	10	PASS	27272	0	0	27272	0	none	NOT REWRITTEN	clean	rows\crypto__cipher\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/des	S-G	G-LAPTOP	verdict	1	2026-09-24T02:34:15	2026-09-24T02:34:43	28	27	10	PASS	55	0	0	55	0	none	NOT REWRITTEN	clean	rows\crypto__des\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/dsa	S-G	G-LAPTOP	verdict	1	2026-09-24T02:34:44	2026-09-24T02:36:06	83	82	120	PASS	4	0	0	4	0	none	NOT REWRITTEN	clean	rows\crypto__dsa\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/ecdh	S-G	G-LAPTOP	verdict	1	2026-09-24T02:36:07	2026-09-24T02:36:49	41	41	10	PASS	47	0	0	47	0	none	NOT REWRITTEN	auto=0 test-artifacts=1 production=0	rows\crypto__ecdh\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/ecdsa	S-G	G-LAPTOP	verdict	1	2026-09-24T02:36:50	2026-09-24T02:37:51	60	60	10	PASS	77	0	0	77	0	none	NOT REWRITTEN	clean	rows\crypto__ecdsa\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/ed25519	S-G	G-LAPTOP	verdict	1	2026-09-24T02:37:52	2026-09-24T02:38:27	35	34	10	PASS	9	1	1	9	1	none	NOT REWRITTEN	clean	rows\crypto__ed25519\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/elliptic	S-G	G-LAPTOP	verdict	1	2026-09-24T02:38:28	2026-09-24T02:38:57	29	28	10	PASS	82	0	0	82	0	none	NOT REWRITTEN	clean	rows\crypto__elliptic\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/hkdf	S-G	G-LAPTOP	verdict	1	2026-09-24T02:38:58	2026-09-24T02:39:26	28	27	10	PASS	3	0	0	3	0	none	NOT REWRITTEN	clean	rows\crypto__hkdf\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/hmac	S-G	G-LAPTOP	verdict	1	2026-09-24T02:39:27	2026-09-24T02:39:57	30	29	10	PASS	172	0	0	172	0	none	NOT REWRITTEN	clean	rows\crypto__hmac\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/boring	S-G	G-LAPTOP	verdict	1	2026-09-24T02:39:58	2026-09-24T02:40:24	25	25	10	PASS	3	0	0	3	0	none	NOT REWRITTEN	clean	rows\crypto__internal__boring\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/boring/bcache	S-G	G-LAPTOP	verdict	1	2026-09-24T02:40:25	2026-09-24T02:40:59	34	33	10	PASS	1	0	0	1	0	none	NOT REWRITTEN	clean	rows\crypto__internal__boring__bcache\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/aes	S-G	G-LAPTOP	verdict	1	2026-09-24T02:41:00	2026-09-24T02:41:26	26	25	10	PASS	5	0	0	5	0	none	NOT REWRITTEN	clean	rows\crypto__internal__fips140__aes\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/bigmod	S-G	G-LAPTOP	verdict	1	2026-09-24T02:41:27	2026-09-24T02:41:55	28	27	10	PASS	79	0	0	79	0	none	NOT REWRITTEN	clean	rows\crypto__internal__fips140__bigmod\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/ecdh	S-G	G-LAPTOP	verdict	1	2026-09-24T02:41:56	2026-09-24T02:42:22	26	25	10	PASS	1	0	0	1	0	none	NOT REWRITTEN	auto=0 test-artifacts=0 production=1	rows\crypto__internal__fips140__ecdh\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/ecdsa	S-G	G-LAPTOP	verdict	1	2026-09-24T02:42:41	2026-09-24T02:44:56	135	134	10	PASS	10	0	0	10	0	none	NOT REWRITTEN	auto=0 test-artifacts=0 production=1	rows\crypto__internal__fips140__ecdsa\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/edwards25519	S-G	G-LAPTOP	verdict	1	2026-09-24T02:44:57	2026-09-24T02:50:18	321	320	10	PASS	54	0	0	54	0	none	NOT REWRITTEN	auto=0 test-artifacts=0 production=1	rows\crypto__internal__fips140__edwards25519\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/edwards25519/field	S-G	G-LAPTOP	verdict	1	2026-09-24T02:50:19	2026-09-24T02:51:09	50	49	10	PASS	16	0	0	16	0	none	NOT REWRITTEN	clean	rows\crypto__internal__fips140__edwards25519__field\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/mlkem	S-G	G-LAPTOP	verdict	1	2026-09-24T02:51:10	2026-09-24T02:51:40	30	29	30	PASS	10	0	0	10	0	none	NOT REWRITTEN	clean	rows\crypto__internal__fips140__mlkem\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/nistec	S-G	G-LAPTOP	verdict	1	2026-09-24T02:51:41	2026-09-24T02:52:10	29	28	10	PASS	44	0	0	44	0	none	NOT REWRITTEN	clean	rows\crypto__internal__fips140__nistec\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140/rsa	S-G	G-LAPTOP	verdict	1	2026-09-24T02:52:11	2026-09-24T02:52:44	32	32	10	PASS	123	0	0	123	0	none	NOT REWRITTEN	auto=0 test-artifacts=0 production=1	rows\crypto__internal__fips140__rsa\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/fips140test	S-G	G-LAPTOP	verdict	1	2026-09-24T02:52:45	2026-09-24T02:55:22	157	156	10	PASS	2260	7	7	2260	7	none	NOT REWRITTEN	clean	rows\crypto__internal__fips140test\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/hpke	S-G	G-LAPTOP	verdict	1	2026-09-24T02:55:23	2026-09-24T02:55:57	34	34	10	PASS	19	0	0	19	0	none	NOT REWRITTEN	clean	rows\crypto__internal__hpke\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/internal/sysrand	S-G	G-LAPTOP	verdict	1	2026-09-24T02:55:58	2026-09-24T02:56:40	42	41	10	PASS	6	0	0	6	0	none	NOT REWRITTEN	clean	rows\crypto__internal__sysrand\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/md5	S-G	G-LAPTOP	verdict	1	2026-09-24T02:56:41	2026-09-24T02:57:11	30	29	10	PASS	11	1	1	11	1	none	NOT REWRITTEN	clean	rows\crypto__md5\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/mlkem	S-G	G-LAPTOP	verdict	1	2026-09-24T02:57:12	2026-09-24T02:57:56	44	43	30	PASS	8	0	0	8	0	none	NOT REWRITTEN	clean	rows\crypto__mlkem\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/pbkdf2	S-G	G-LAPTOP	verdict	1	2026-09-24T02:57:57	2026-09-24T02:58:25	28	27	10	PASS	5	0	0	5	0	none	NOT REWRITTEN	clean	rows\crypto__pbkdf2\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/rand	S-G	G-LAPTOP	verdict	1	2026-09-24T02:58:26	2026-09-24T02:59:19	53	53	10	PASS	314	1	1	314	1	none	NOT REWRITTEN	clean	rows\crypto__rand\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/rc4	S-G	G-LAPTOP	verdict	1	2026-09-24T02:59:20	2026-09-24T02:59:48	28	27	10	PASS	75	0	0	75	0	none	NOT REWRITTEN	clean	rows\crypto__rc4\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/rsa	S-G	G-LAPTOP	verdict	1	2026-09-24T02:59:49	2026-09-24T03:01:54	125	124	10	PASS	568	1	1	568	1	none	NOT REWRITTEN	clean	rows\crypto__rsa\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/sha1	S-G	G-LAPTOP	verdict	1	2026-09-24T03:01:56	2026-09-24T03:02:24	28	27	10	PASS	12	1	1	12	1	none	NOT REWRITTEN	clean	rows\crypto__sha1\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/sha256	S-G	G-LAPTOP	verdict	1	2026-09-24T03:02:25	2026-09-24T03:02:53	28	27	10	PASS	22	1	1	22	1	none	NOT REWRITTEN	clean	rows\crypto__sha256\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/sha3	S-G	G-LAPTOP	verdict	1	2026-09-24T03:02:54	2026-09-24T03:03:40	46	45	10	PASS	18	5	5	18	5	none	NOT REWRITTEN	clean	rows\crypto__sha3\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/sha512	S-G	G-LAPTOP	verdict	1	2026-09-24T03:03:41	2026-09-24T03:04:09	28	27	10	PASS	35	1	1	35	1	none	NOT REWRITTEN	clean	rows\crypto__sha512\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/subtle	S-G	G-LAPTOP	verdict	1	2026-09-24T03:04:10	2026-09-24T03:05:01	51	50	10	PASS	9	0	0	9	0	none	NOT REWRITTEN	clean	rows\crypto__subtle\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
crypto/x509	S-G	G-LAPTOP	verdict	1	2026-09-24T03:05:03	2026-09-24T03:08:42	219	219	10	PASS	518	0	0	518	0	none	NOT REWRITTEN	auto=0 test-artifacts=0 production=1	rows\crypto__x509\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
database/sql	S-G	G-LAPTOP	verdict	1	2026-09-24T03:08:43	2026-09-24T03:10:42	119	118	10	PASS	140	2	2	140	2	none	NOT REWRITTEN	clean	rows\database__sql\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
database/sql/driver	S-G	G-LAPTOP	verdict	1	2026-09-24T03:10:44	2026-09-24T03:11:06	22	21	10	PASS	1	0	0	1	0	none	NOT REWRITTEN	clean	rows\database__sql__driver\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
debug/buildinfo	S-G	G-LAPTOP	verdict	1	2026-09-24T03:11:07	2026-09-24T03:11:58	51	50	10	PASS	211	0	0	211	0	none	NOT REWRITTEN	clean	rows\debug__buildinfo\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
debug/dwarf	S-G	G-LAPTOP	verdict	1	2026-09-24T03:11:59	2026-09-24T03:12:32	33	32	10	PASS	40	0	0	40	0	none	NOT REWRITTEN	clean	rows\debug__dwarf\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
debug/elf	S-G	G-LAPTOP	verdict	1	2026-09-24T03:12:33	2026-09-24T03:13:11	38	37	10	PASS	31	0	0	31	0	none	NOT REWRITTEN	clean	rows\debug__elf\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
debug/gosym	S-G	G-LAPTOP	verdict	1	2026-09-24T03:13:12	2026-09-24T03:13:43	31	30	10	PASS	10	0	0	10	0	none	NOT REWRITTEN	clean	rows\debug__gosym\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
debug/macho	S-G	G-LAPTOP	verdict	1	2026-09-24T03:13:44	2026-09-24T03:14:10	26	25	10	PASS	7	0	0	7	0	none	NOT REWRITTEN	clean	rows\debug__macho\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
debug/pe	S-G	G-LAPTOP	verdict	1	2026-09-24T03:14:12	2026-09-24T03:14:52	40	39	10	PASS	10	0	0	10	0	none	NOT REWRITTEN	clean	rows\debug__pe\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
debug/plan9obj	S-G	G-LAPTOP	verdict	1	2026-09-24T03:14:53	2026-09-24T03:15:15	22	22	10	PASS	2	0	0	2	0	none	NOT REWRITTEN	clean	rows\debug__plan9obj\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
