row	entry	current_label	census_proposal	go	cs	unit	reading	note_text
net/netip	TestNoAllocs/MustParseAddr	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/IPv6LinkLocalAllNodes	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/IPv6LinkLocalAllRouters	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/IPv6Loopback	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsZero	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.BitLen	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Zone/4	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Zone/6	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Zone/6zone	alloc-profile	DEFERRED	pass	fail	COUNT	4/run (counted 4,002 objects, 370,928 bytes, 1,000 runs); test: allocs = 4; want 0	go2cs: testing.AllocsPerRun counted 4,002 go2cs-runtime object allocations (370,928 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Compare	alloc-profile	DEFERRED	pass	fail	COUNT	6/run (counted 6,000 objects, 192,000 bytes, 1,000 runs); test: allocs = 6; want 0	go2cs: testing.AllocsPerRun counted 6,000 go2cs-runtime object allocations (192,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Less	alloc-profile	DEFERRED	pass	fail	COUNT	6/run (counted 6,000 objects, 192,000 bytes, 1,000 runs); test: allocs = 6; want 0	go2cs: testing.AllocsPerRun counted 6,000 go2cs-runtime object allocations (192,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Is4	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Is6	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Is4In6	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Unmap	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.WithZone	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsGlobalUnicast	alloc-profile	DEFERRED	pass	fail	COUNT	6/run (counted 6,000 objects, 536,000 bytes, 1,000 runs); test: allocs = 6; want 0	go2cs: testing.AllocsPerRun counted 6,000 go2cs-runtime object allocations (536,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsInterfaceLocalMulticast	alloc-profile	DEFERRED	pass	fail	COUNT	6/run (counted 6,000 objects, 536,000 bytes, 1,000 runs); test: allocs = 6; want 0	go2cs: testing.AllocsPerRun counted 6,000 go2cs-runtime object allocations (536,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsLinkLocalMulticast	alloc-profile	DEFERRED	pass	fail	COUNT	6/run (counted 6,000 objects, 536,000 bytes, 1,000 runs); test: allocs = 6; want 0	go2cs: testing.AllocsPerRun counted 6,000 go2cs-runtime object allocations (536,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsLinkLocalUnicast	alloc-profile	DEFERRED	pass	fail	COUNT	6/run (counted 6,000 objects, 536,000 bytes, 1,000 runs); test: allocs = 6; want 0	go2cs: testing.AllocsPerRun counted 6,000 go2cs-runtime object allocations (536,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsLoopback	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsMulticast	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsPrivate	alloc-profile	DEFERRED	pass	fail	COUNT	6/run (counted 6,000 objects, 536,000 bytes, 1,000 runs); test: allocs = 6; want 0	go2cs: testing.AllocsPerRun counted 6,000 go2cs-runtime object allocations (536,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.IsUnspecified	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 88,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (88,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Prefix/4	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Prefix/6	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.As16	alloc-profile	DEFERRED	pass	fail	COUNT	5/run (counted 5,000 objects, 176,000 bytes, 1,000 runs); test: allocs = 5; want 0	go2cs: testing.AllocsPerRun counted 5,000 go2cs-runtime object allocations (176,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.As4	alloc-profile	DEFERRED	pass	fail	COUNT	5/run (counted 5,000 objects, 160,000 bytes, 1,000 runs); test: allocs = 5; want 0	go2cs: testing.AllocsPerRun counted 5,000 go2cs-runtime object allocations (160,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Next	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/Addr.Prev	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/AddrPortFrom	alloc-profile	DEFERRED	pass	fail	COUNT	1/run (counted 1,000 objects, 64,000 bytes, 1,000 runs); test: allocs = 1; want 0	go2cs: testing.AllocsPerRun counted 1,000 go2cs-runtime object allocations (64,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/ParseAddrPort	alloc-profile	DEFERRED	pass	fail	COUNT	5/run (counted 5,000 objects, 192,000 bytes, 1,000 runs); test: allocs = 5; want 0	go2cs: testing.AllocsPerRun counted 5,000 go2cs-runtime object allocations (192,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/MustParseAddrPort	alloc-profile	DEFERRED	pass	fail	COUNT	5/run (counted 5,000 objects, 192,000 bytes, 1,000 runs); test: allocs = 5; want 0	go2cs: testing.AllocsPerRun counted 5,000 go2cs-runtime object allocations (192,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
